id,is_misinfo
1344795424855642112,0
1344794858133860353,0
1344794822691983360,0
1344794752819077123,1
1344792070507134977,0
1344790296119422980,1
1344789441764737024,0
1344789059290468354,1
1344788417478062080,0
1344788039319625734,0
1344786755606740992,1
1344782644408680448,0
1344781792956600321,0
1344779109394751488,0
1344777176705454080,0
1344776642577780736,0
1344776637402017792,0
1344776610935926786,0
1344774791841116160,0
1344774621778817026,0
1344771024798285826,0
1344770871165145089,1
1344770503014297602,1
1344770282117062658,0
1344768972613414917,0
1344768691091558400,0
1344766649191292928,0
1344765819188817921,0
1344765719939080198,0
1344765626884173830,0
1344765300106031104,0
1344764469260513285,0
1344763622371823622,1
1344763485788405760,0
1344763058888048643,0
1344762878012907521,0
1344762846345879553,0
1344761076991332353,0
1344760293159702528,0
1344760267381460992,0
1344756661567823872,0
1344756485184757764,0
1344754937469743107,0
1344753195696975872,1
1344752471063863296,0
1344752375651835905,0
1344752277412851712,0
1344750765353517057,0
1344746378501746707,1
1344745977018769413,0
1344745483068170240,0
1344745066158551053,1
1344742050248478720,0
1344740289274003456,1
1344740187629355008,0
1344737563551150080,0
1344736773302267904,1
1344734014779830278,0
1344733112454942721,0
1344732311967985665,1
1344731663490666496,1
1344729746735837185,0
1344728257250246656,0
1344726216230674433,1
1344725006220193792,0
1344722143792287744,0
1344720957555027968,0
1344720060460490755,0
1344719560793075714,0
1344719068520095744,0
1344718769604726784,0
1344717659024351233,0
1344717229745713152,0
1344714858361712644,1
1344714399781593088,0
1344712049176309763,0
1344710071415152641,0
1344709672654303237,0
1344709600663269378,0
1344709040195166210,1
1344708288013856768,0
1344707339270713350,0
1344704027087536131,0
1344703890315382784,1
1344703500110995458,0
1344703158757548032,0
1344702824181993472,0
1344701732798910465,0
1344700566396497920,0
1344698975098707968,0
1344696094740115458,0
1344695753839685634,0
1344693328730677255,1
1344691087164653571,1
1344690018300911616,1
1344689691052838915,0
1344689636615073793,1
1344689375079247872,0
1344689204899565571,0
1344688894038695939,0
1344687409640960001,0
1344687361968451584,1
1344687228505751553,0
1344686393113669632,0
1344686185919221760,0
1344686180529565696,0
1344683758734241797,1
1344682652595613699,0
1344682636904718338,0
1344682618063888385,0
1344679396880343040,0
1344679272879951874,0
1344679272812847105,0
1344679258053095425,0
1344678920243863556,0
1344678614646796295,0
1344678582686265346,0
1344676165798260736,0
1344675836201492482,0
1344674529826762753,0
1344674516119801857,0
1344669481197572098,1
1344669199709466625,0
1344668380331188229,1
1344667857272020992,0
1344667774933749760,0
1344665939275485185,0
1344665381840048134,0
1344664046944006151,0
1344664027532816387,0
1344660902608588801,0
1344659605192908801,0
1344658464916717571,0
1344657204671098881,0
1344651421686390785,1
1344647628852781059,1
1344644211459706881,0
1344641827803172865,0
1344641028884733959,0
1344638986929786889,0
1344635307916980225,1
1344632237724196870,0
1344628816984104960,0
1344628016627011586,0
1344625496965976067,1
1344625401205825536,0
1344624566031831042,0
1344622228181311488,0
1344621398241775616,0
1344620567153016833,0
1344619006716760065,1
1344618910209990658,0
1344618103783755776,1
1344616336685674497,1
1344611240740589568,0
1344610405474328576,1
1344604956322639878,1
1344604599957786626,0
1344602413391462401,0
1344601101908254720,1
1344594792601292800,0
1344593720730148868,0
1344583581188956162,0
1344577683909439488,0
1344576592740286466,1
1344573389067984899,1
1344569866339155968,0
1344569347105300482,1
1344562241497141249,0
1344559692564078592,1
1344554507863289857,0
1344554417736077313,1
1344552808331284483,1
1344552782767005698,0
1344550820260540419,0
1344546290491772929,1
1344546123822804992,0
